census_tract,total_pop,under_5,5_to_9,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Selected Age Categories,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Male population,Under 5 years,5 to 9 years,10 to 14 years_1,15 to 19 years_1,20 to 24 years_1,25 to 29 years_1,30 to 34 years_1,35 to 39 years_1,40 to 44 years_1,45 to 49 years_1,50 to 54 years_1,55 to 59 years_1,60 to 64 years_1,65 to 69 years_1,70 to 74 years_1,75 to 79 years_1,80 to 84 years_1,85 years and over_1,Selected Age Categories_1,16 years and over_1,18 years and over_1,21 years and over_1,62 years and over_1,65 years and over_1,Female population,Under 5 years_1,5 to 9 years_1,10 to 14 years_2,15 to 19 years_2,20 to 24 years_2,25 to 29 years_2,30 to 34 years_2,35 to 39 years_2,40 to 44 years_2,45 to 49 years_2,50 to 54 years_2,55 to 59 years_2,60 to 64 years_2,65 to 69 years_2,70 to 74 years_2,75 to 79 years_2,80 to 84 years_2,85 years and over_2,Selected Age Categories_2,16 years and over_2,18 years and over_2,21 years and over_2,62 years and over_2,65 years and over_2,MEDIAN AGE BY SEX,Both sexes,Male,Female,RACE,Total population,One Race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,TOTAL RACES TALLIED [1],Total races tallied,White alone or in combination with one or more other races,Black or African American alone or in combination with one or more other races,American Indian and Alaska Native alone or in combination with one or more other races,Asian alone or in combination with one or more other races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,Total population_1,Hispanic or Latino (of any race),Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,Total population_2,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races_1,Not Hispanic or Latino_1,White alone_1,Black or African American alone_1,American Indian and Alaska Native alone_1,Asian alone_1,Native Hawaiian and Other Pacific Islander alone_1,Some Other Race alone_1,Two or More Races_2,RELATIONSHIP,Total population_3,In households,Householder,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,Child [2],Under 18 years,Grandchild,Under 18 years_1,Other relatives,Nonrelatives,In group quarters,Institutionalized population:,Male_1,Female_1,Noninstitutionalized population:,Male_2,Female_2,HOUSEHOLDS BY TYPE,Total households,Married couple household,With own children under 18 [3],Cohabiting couple household,With own children under 18 [3]_1,"Male householder, no spouse or partner present:",Living alone,65 years and over_3,With own children under 18 [3]_2,"Female householder, no spouse or partner present:",Living alone_1,65 years and over_4,With own children under 18 [3]_3,Households with individuals under 18 years,Households with individuals 65 years and over,HOUSING OCCUPANCY,Total housing units,Occupied housing units,Vacant housing units,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",All other vacants,VACANCY RATES,Homeowner vacancy rate (percent) [4],Rental vacancy rate (percent) [5],HOUSING TENURE,Occupied housing units_1,Owner-occupied housing units,Renter-occupied housing units,near_hblr,white_pct,black_pct,asian_pct,amerindian_pct,other_pct,hispanic_pct,near_path
Census Tract 175; Hudson County; New Jersey!!Percent,100.00%,6.10%,7.60%,7.80%,8.30%,7.60%,8.20%,7.90%,6.70%,7.70%,6.40%,5.80%,6.30%,4.70%,3.30%,2.40%,1.40%,1.10%,0.70%,,77.00%,73.30%,68.60%,11.40%,9.00%,100.00%,6.20%,7.30%,7.50%,8.90%,8.00%,8.90%,7.90%,6.90%,7.10%,6.30%,6.00%,6.30%,5.50%,3.20%,1.60%,1.10%,1.00%,0.40%,,77.60%,73.30%,68.50%,10.00%,7.30%,100.00%,5.90%,7.90%,8.20%,7.80%,7.20%,7.50%,7.80%,6.60%,8.20%,6.50%,5.60%,6.30%,3.90%,3.50%,3.20%,1.60%,1.30%,1.00%,,76.50%,73.30%,68.70%,12.70%,10.60%,,(X),(X),(X),,100.00%,77.50%,16.30%,3.70%,2.60%,2.00%,0.10%,52.80%,22.50%,,124.10%,33.80%,7.30%,5.40%,2.60%,0.50%,74.50%,,100.00%,89.40%,10.60%,,100.00%,89.40%,10.80%,2.30%,2.50%,0.10%,0.10%,51.90%,21.70%,10.60%,5.50%,1.40%,0.10%,1.90%,0.00%,0.90%,0.80%,,100.00%,100.00%,32.80%,11.00%,0.20%,2.80%,0.00%,34.10%,22.40%,3.30%,2.90%,11.20%,4.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,33.60%,16.80%,9.00%,5.10%,21.30%,11.00%,2.50%,2.20%,36.00%,11.10%,5.50%,13.50%,44.60%,21.70%,,100.00%,94.60%,5.40%,1.30%,0.40%,0.10%,0.60%,0.00%,2.90%,,(X),(X),,100.00%,10.10%,89.90%,False,5.5,1.4,1.9,0.1,0.9,89.4,False
Census Tract 176; Hudson County; New Jersey!!Percent,100.00%,6.20%,8.00%,7.50%,7.00%,7.30%,8.20%,8.30%,7.10%,7.60%,6.20%,6.30%,4.90%,5.40%,3.90%,2.30%,1.60%,0.90%,1.20%,,77.20%,74.10%,69.20%,13.00%,10.00%,100.00%,8.10%,8.50%,7.10%,7.80%,7.50%,8.20%,9.30%,7.30%,7.50%,5.90%,6.00%,4.90%,3.90%,3.20%,2.30%,1.30%,0.60%,0.70%,,75.20%,71.90%,66.10%,9.50%,8.00%,100.00%,4.30%,7.60%,7.80%,6.10%,7.10%,8.30%,7.30%,6.90%,7.80%,6.50%,6.60%,4.90%,6.90%,4.60%,2.40%,1.90%,1.20%,1.70%,,79.00%,76.20%,72.00%,16.30%,11.90%,,(X),(X),(X),,100.00%,78.60%,16.80%,3.40%,1.70%,1.50%,0.20%,55.00%,21.40%,,123.00%,33.60%,8.40%,3.40%,2.10%,0.40%,75.00%,,100.00%,89.60%,10.40%,,100.00%,89.60%,11.60%,1.60%,1.60%,0.20%,0.20%,53.80%,20.50%,10.40%,5.20%,1.80%,0.10%,1.30%,0.00%,1.10%,0.90%,,100.00%,99.80%,33.40%,11.20%,0.10%,2.80%,0.10%,33.30%,21.20%,3.60%,2.90%,11.00%,4.30%,0.20%,0.00%,0.00%,0.00%,0.20%,0.10%,0.10%,,100.00%,33.40%,16.70%,8.80%,5.30%,20.10%,11.10%,3.20%,2.40%,37.70%,13.10%,5.70%,10.10%,41.40%,25.10%,,100.00%,91.90%,8.10%,2.90%,0.20%,0.20%,0.30%,0.70%,3.90%,,(X),(X),,100.00%,17.10%,82.90%,False,5.2,1.8,1.3,0.1,1.1,89.6,False
Census Tract 177; Hudson County; New Jersey!!Percent,100.00%,5.60%,5.80%,6.00%,6.00%,7.80%,9.00%,9.00%,7.30%,7.90%,6.80%,6.20%,5.90%,5.70%,3.90%,3.30%,1.40%,1.50%,0.70%,,81.40%,79.20%,75.20%,13.80%,10.80%,100.00%,6.50%,4.90%,6.70%,7.10%,8.40%,8.80%,8.70%,8.20%,7.20%,7.20%,5.00%,4.90%,5.80%,3.80%,3.90%,1.10%,1.10%,0.60%,,80.30%,77.40%,73.20%,13.40%,10.60%,100.00%,4.70%,6.70%,5.40%,4.90%,7.30%,9.20%,9.40%,6.50%,8.60%,6.30%,7.30%,7.00%,5.70%,3.90%,2.60%,1.70%,1.90%,0.80%,,82.50%,81.10%,77.20%,14.20%,11.00%,,(X),(X),(X),,100.00%,77.50%,20.30%,6.20%,3.30%,9.90%,0.00%,37.80%,22.50%,,124.10%,37.50%,12.40%,4.70%,10.90%,0.00%,58.70%,,100.00%,72.00%,28.00%,,100.00%,72.00%,8.30%,2.30%,3.20%,0.20%,0.00%,37.00%,21.00%,28.00%,11.90%,3.90%,0.10%,9.70%,0.00%,0.90%,1.50%,,100.00%,99.40%,39.70%,11.80%,0.30%,3.70%,0.10%,28.80%,17.80%,2.10%,1.70%,8.60%,4.20%,0.60%,0.00%,0.00%,0.00%,0.60%,0.40%,0.20%,,100.00%,30.40%,11.40%,9.50%,4.10%,23.90%,15.00%,2.70%,2.10%,36.20%,15.40%,3.50%,8.10%,30.50%,20.80%,,100.00%,91.50%,8.50%,1.90%,0.10%,0.00%,0.30%,0.30%,5.90%,,(X),(X),,100.00%,21.70%,78.30%,False,11.9,3.9,9.7,0.1,0.9,72.0,False
Census Tract 178; Hudson County; New Jersey!!Percent,100.00%,5.40%,6.70%,6.50%,5.80%,6.00%,7.80%,11.40%,8.50%,7.00%,7.20%,6.20%,6.00%,5.00%,3.60%,2.80%,1.80%,1.20%,1.10%,,80.40%,77.80%,74.30%,13.40%,10.50%,100.00%,4.90%,6.60%,6.80%,6.80%,6.10%,8.50%,11.50%,8.60%,7.00%,7.80%,5.20%,6.30%,5.00%,3.40%,2.80%,1.20%,0.70%,1.00%,,80.70%,77.50%,73.70%,11.80%,9.00%,100.00%,5.90%,6.70%,6.20%,4.80%,5.90%,7.10%,11.30%,8.30%,7.10%,6.60%,7.20%,5.80%,5.00%,3.80%,2.80%,2.30%,1.70%,1.20%,,80.20%,78.10%,74.80%,14.90%,12.00%,,(X),(X),(X),,100.00%,80.40%,25.40%,4.00%,1.50%,6.40%,0.00%,43.10%,19.60%,,120.80%,41.90%,8.10%,2.50%,7.20%,0.00%,61.10%,,100.00%,70.90%,29.10%,,100.00%,70.90%,7.90%,1.50%,1.40%,0.20%,0.00%,42.20%,17.80%,29.10%,17.50%,2.60%,0.10%,6.20%,0.00%,0.90%,1.80%,,100.00%,99.90%,38.70%,13.10%,0.40%,3.40%,0.30%,28.10%,18.60%,2.40%,1.80%,8.80%,4.70%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,,100.00%,35.20%,15.60%,9.60%,3.50%,21.20%,13.00%,2.50%,2.30%,33.90%,15.20%,4.80%,8.00%,33.60%,23.30%,,100.00%,93.20%,6.80%,2.50%,0.30%,0.60%,0.10%,0.20%,3.10%,,(X),(X),,100.00%,30.70%,69.30%,False,17.5,2.6,6.2,0.1,0.9,70.9,False
Census Tract 179; Hudson County; New Jersey!!Percent,100.00%,7.50%,3.50%,2.80%,2.20%,3.80%,12.40%,20.30%,13.70%,8.10%,6.50%,5.50%,5.20%,3.20%,1.90%,1.70%,0.70%,0.40%,0.40%,,85.70%,84.80%,83.50%,7.00%,5.20%,100.00%,7.70%,3.60%,2.50%,1.80%,3.50%,12.30%,20.00%,13.70%,8.10%,6.90%,5.70%,5.80%,3.20%,1.90%,1.90%,0.40%,0.40%,0.40%,,85.50%,85.00%,84.10%,6.80%,5.10%,100.00%,7.20%,3.50%,3.10%,2.60%,4.20%,12.50%,20.50%,13.70%,8.20%,6.00%,5.30%,4.60%,3.20%,1.90%,1.60%,1.00%,0.50%,0.40%,,85.90%,84.60%,82.90%,7.10%,5.40%,,(X),(X),(X),,100.00%,89.60%,52.00%,4.30%,0.30%,28.20%,0.00%,4.80%,10.40%,,111.20%,61.90%,5.60%,0.90%,29.60%,0.20%,13.00%,,100.00%,14.10%,85.90%,,100.00%,14.10%,2.70%,0.10%,0.20%,0.10%,0.00%,4.10%,7.00%,85.90%,49.30%,4.20%,0.20%,28.20%,0.00%,0.70%,3.40%,,100.00%,100.00%,50.00%,20.70%,0.50%,4.00%,0.50%,18.60%,14.40%,0.30%,0.20%,2.90%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,42.60%,14.90%,9.30%,0.90%,24.50%,19.10%,1.80%,1.80%,23.60%,16.80%,1.80%,2.90%,21.60%,11.30%,,100.00%,83.70%,16.30%,11.10%,0.60%,2.70%,0.00%,0.80%,1.10%,,(X),(X),,100.00%,24.50%,75.50%,True,49.3,4.2,28.2,0.2,0.7,14.1,False
Census Tract 180; Hudson County; New Jersey!!Percent,100.00%,5.30%,4.60%,4.70%,4.50%,5.10%,9.40%,11.70%,9.20%,7.80%,7.20%,5.40%,6.20%,6.00%,3.70%,3.30%,2.40%,1.80%,1.70%,,84.60%,82.60%,80.10%,16.10%,12.90%,100.00%,5.40%,5.00%,4.20%,5.40%,5.70%,10.20%,11.50%,10.30%,7.40%,7.30%,5.50%,6.10%,5.40%,3.20%,3.20%,1.90%,1.50%,1.10%,,84.70%,82.20%,79.10%,13.60%,10.90%,100.00%,5.20%,4.30%,5.20%,3.60%,4.50%,8.70%,11.90%,8.10%,8.20%,7.20%,5.40%,6.30%,6.50%,4.10%,3.40%,2.90%,2.00%,2.20%,,84.40%,83.00%,80.90%,18.40%,14.70%,,(X),(X),(X),,100.00%,76.80%,39.90%,5.40%,1.00%,8.30%,0.00%,22.20%,23.20%,,124.80%,60.50%,9.10%,2.70%,9.50%,0.20%,42.70%,,100.00%,51.80%,48.20%,,100.00%,51.80%,8.10%,1.20%,0.80%,0.20%,0.00%,21.10%,20.30%,48.20%,31.80%,4.20%,0.10%,8.10%,0.00%,1.10%,2.80%,,100.00%,100.00%,45.90%,13.50%,0.60%,3.10%,0.30%,24.20%,15.30%,1.50%,1.00%,5.90%,4.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,30.60%,12.40%,7.30%,1.40%,23.70%,16.90%,2.60%,1.40%,38.30%,22.00%,8.00%,6.50%,24.80%,23.50%,,100.00%,89.60%,10.40%,5.00%,0.60%,0.80%,0.20%,0.60%,3.20%,,(X),(X),,100.00%,24.60%,75.40%,False,31.8,4.2,8.1,0.1,1.1,51.8,False
Census Tract 181; Hudson County; New Jersey!!Percent,100.00%,5.80%,4.50%,4.90%,5.30%,6.10%,7.90%,10.20%,8.80%,7.60%,6.20%,6.50%,6.60%,5.80%,5.40%,2.40%,2.40%,1.60%,2.00%,,83.80%,81.20%,78.50%,16.80%,13.80%,100.00%,6.50%,4.40%,5.00%,5.10%,7.20%,7.30%,11.10%,9.70%,8.20%,6.50%,5.50%,6.30%,5.40%,5.40%,2.00%,1.90%,1.00%,1.40%,,83.30%,80.80%,77.70%,14.30%,11.70%,100.00%,5.00%,4.50%,4.90%,5.60%,5.00%,8.40%,9.40%,7.90%,7.00%,6.00%,7.50%,6.80%,6.10%,5.40%,2.80%,2.80%,2.30%,2.60%,,84.30%,81.50%,79.30%,19.20%,15.90%,,(X),(X),(X),,100.00%,81.00%,46.00%,4.50%,0.70%,10.40%,0.00%,19.50%,19.00%,,120.10%,63.50%,7.10%,2.10%,11.90%,0.20%,35.20%,,100.00%,41.50%,58.50%,,100.00%,41.50%,5.90%,0.60%,0.70%,0.30%,0.00%,18.60%,15.30%,58.50%,40.10%,3.90%,0.00%,10.00%,0.00%,0.90%,3.60%,,100.00%,100.00%,42.80%,15.60%,0.50%,2.30%,0.10%,24.90%,16.80%,1.30%,0.70%,6.00%,6.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,36.30%,15.70%,5.60%,1.00%,25.60%,15.20%,3.10%,2.30%,32.50%,17.90%,6.10%,4.50%,26.20%,24.20%,,100.00%,87.60%,12.40%,5.90%,0.40%,0.60%,0.30%,0.40%,4.80%,,(X),(X),,100.00%,32.70%,67.30%,False,40.1,3.9,10.0,0.0,0.9,41.5,False
Census Tract 182; Hudson County; New Jersey!!Percent,100.00%,5.00%,4.50%,3.80%,4.10%,5.00%,11.80%,13.40%,9.50%,7.50%,6.00%,6.50%,5.40%,4.90%,4.00%,3.30%,2.40%,1.30%,1.60%,,85.80%,84.30%,81.80%,15.70%,12.70%,100.00%,4.90%,4.00%,4.20%,4.20%,5.10%,12.80%,12.80%,9.90%,8.70%,6.30%,6.50%,4.90%,4.80%,4.00%,2.60%,2.00%,1.10%,1.00%,,86.10%,84.30%,81.60%,13.50%,10.70%,100.00%,5.10%,4.90%,3.40%,3.90%,4.90%,10.80%,14.00%,9.10%,6.40%,5.80%,6.40%,5.90%,4.90%,4.10%,4.00%,2.80%,1.50%,2.20%,,85.60%,84.30%,82.00%,17.70%,14.60%,,(X),(X),(X),,100.00%,84.80%,56.90%,4.30%,0.70%,9.70%,0.10%,13.00%,15.20%,,116.20%,70.80%,6.70%,1.60%,11.60%,0.20%,25.30%,,100.00%,32.60%,67.40%,,100.00%,32.60%,6.70%,0.70%,0.60%,0.10%,0.00%,12.50%,11.90%,67.40%,50.30%,3.60%,0.00%,9.60%,0.10%,0.50%,3.30%,,100.00%,100.00%,45.10%,16.80%,0.50%,3.10%,0.40%,21.90%,14.30%,0.80%,0.50%,5.30%,6.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,38.50%,14.10%,7.50%,1.00%,22.90%,14.00%,2.80%,1.20%,31.10%,18.40%,6.40%,4.50%,23.40%,23.20%,,100.00%,91.30%,8.70%,4.20%,0.90%,0.90%,0.00%,0.40%,2.30%,,(X),(X),,100.00%,33.50%,66.50%,False,50.3,3.6,9.6,0.0,0.5,32.6,False
Census Tract 183.01; Hudson County; New Jersey!!Percent,100.00%,11.20%,5.20%,2.50%,1.90%,3.80%,12.60%,17.80%,12.80%,9.80%,6.20%,4.30%,3.90%,3.10%,2.20%,0.90%,1.00%,0.30%,0.40%,,80.60%,79.90%,78.80%,6.90%,4.80%,100.00%,11.90%,5.30%,2.00%,1.80%,3.90%,12.10%,15.70%,13.40%,10.80%,5.70%,4.70%,4.00%,3.30%,2.60%,0.80%,1.20%,0.30%,0.50%,,80.50%,79.60%,78.60%,7.60%,5.40%,100.00%,10.50%,5.10%,3.00%,2.00%,3.70%,13.10%,20.10%,12.30%,8.80%,6.60%,3.90%,3.90%,2.80%,1.70%,1.00%,0.90%,0.30%,0.30%,,80.70%,80.30%,79.00%,6.10%,4.20%,,(X),(X),(X),,100.00%,92.90%,65.70%,0.80%,0.10%,23.80%,0.10%,2.40%,7.10%,,107.60%,72.50%,1.60%,0.80%,26.40%,0.10%,6.40%,,100.00%,6.30%,93.70%,,100.00%,6.30%,1.40%,0.10%,0.10%,0.10%,0.10%,1.50%,3.10%,93.70%,64.40%,0.80%,0.00%,23.70%,0.00%,0.90%,4.00%,,100.00%,99.80%,44.10%,20.50%,0.40%,4.70%,0.60%,22.40%,19.50%,0.60%,0.30%,2.90%,3.80%,0.20%,0.00%,0.00%,0.00%,0.20%,0.20%,0.00%,,100.00%,47.80%,23.20%,11.90%,0.50%,21.30%,13.90%,1.20%,2.60%,19.00%,13.30%,2.10%,2.50%,29.90%,9.20%,,100.00%,93.50%,6.50%,3.10%,0.30%,0.00%,0.10%,1.30%,1.60%,,(X),(X),,100.00%,35.80%,64.20%,False,64.4,0.8,23.7,0.0,0.9,6.3,False
Census Tract 183.02; Hudson County; New Jersey!!Percent,100.00%,12.50%,4.20%,2.20%,1.70%,3.10%,10.60%,20.60%,15.50%,9.90%,6.10%,4.30%,3.50%,2.60%,1.10%,0.90%,0.60%,0.30%,0.20%,,80.90%,80.40%,78.80%,4.50%,3.10%,100.00%,12.50%,4.50%,1.60%,1.50%,3.40%,9.50%,19.90%,15.60%,11.10%,6.40%,4.60%,3.90%,2.30%,1.30%,0.80%,0.60%,0.40%,0.10%,,81.20%,80.80%,79.40%,4.30%,3.20%,100.00%,12.50%,4.00%,2.70%,2.00%,2.90%,11.70%,21.40%,15.30%,8.70%,5.90%,4.10%,3.10%,2.80%,1.00%,0.90%,0.50%,0.20%,0.30%,,80.70%,80.10%,78.30%,4.60%,2.90%,,(X),(X),(X),,100.00%,92.00%,76.90%,2.00%,0.00%,11.20%,0.10%,1.90%,8.00%,,108.40%,84.60%,2.90%,0.40%,13.50%,0.20%,6.80%,,100.00%,6.40%,93.60%,,100.00%,6.40%,1.60%,0.10%,0.00%,0.00%,0.00%,1.00%,3.60%,93.60%,75.30%,1.90%,0.00%,11.20%,0.10%,0.80%,4.30%,,100.00%,97.10%,45.30%,22.20%,0.30%,5.20%,0.20%,21.00%,19.30%,0.00%,0.00%,0.80%,1.90%,2.90%,0.00%,0.00%,0.00%,2.90%,1.90%,1.00%,,100.00%,49.30%,25.60%,12.10%,0.50%,17.10%,14.20%,1.00%,0.70%,21.50%,17.10%,0.80%,1.50%,28.90%,5.10%,,100.00%,91.90%,8.10%,2.40%,0.30%,2.50%,0.20%,1.00%,1.70%,,(X),(X),,100.00%,35.70%,64.30%,False,75.3,1.9,11.2,0.0,0.8,6.4,False
Census Tract 184.01; Hudson County; New Jersey!!Percent,100.00%,5.80%,5.80%,4.30%,3.10%,7.10%,15.70%,12.90%,7.80%,7.30%,6.50%,5.00%,4.40%,3.50%,3.20%,3.30%,1.80%,1.10%,1.40%,,83.20%,82.10%,80.20%,12.80%,10.80%,100.00%,6.40%,5.90%,5.20%,3.20%,7.30%,16.00%,13.00%,8.10%,7.10%,7.20%,5.00%,4.00%,2.90%,2.60%,3.00%,1.30%,0.60%,1.10%,,81.60%,80.80%,78.20%,10.20%,8.60%,100.00%,5.30%,5.70%,3.60%,3.10%,6.80%,15.30%,12.90%,7.50%,7.40%,5.90%,5.00%,4.70%,4.10%,3.70%,3.60%,2.30%,1.60%,1.60%,,84.70%,83.20%,82.00%,15.20%,12.70%,,(X),(X),(X),,100.00%,90.00%,74.90%,2.40%,0.20%,6.40%,0.10%,6.10%,10.00%,,110.40%,84.20%,3.50%,1.00%,8.20%,0.20%,13.20%,,100.00%,16.10%,83.90%,,100.00%,16.10%,3.90%,0.40%,0.20%,0.10%,0.00%,5.10%,6.40%,83.90%,71.00%,2.00%,0.00%,6.30%,0.10%,1.00%,3.60%,,100.00%,100.00%,46.10%,15.10%,0.30%,3.20%,0.10%,21.90%,17.00%,0.40%,0.40%,2.60%,10.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,33.80%,17.50%,7.00%,0.10%,23.30%,14.10%,3.90%,0.50%,35.90%,19.30%,7.20%,3.00%,22.60%,18.60%,,100.00%,93.20%,6.80%,3.40%,0.60%,0.10%,0.10%,0.50%,2.20%,,(X),(X),,100.00%,34.90%,65.10%,False,71.0,2.0,6.3,0.0,1.0,16.1,False
Census Tract 184.02; Hudson County; New Jersey!!Percent,100.00%,12.40%,4.20%,1.90%,1.50%,4.80%,15.50%,22.40%,15.30%,8.20%,4.60%,3.30%,2.50%,1.50%,0.50%,0.50%,0.50%,0.10%,0.20%,,81.20%,80.50%,79.60%,2.60%,1.80%,100.00%,12.70%,5.00%,2.00%,0.90%,5.30%,13.50%,22.40%,16.40%,8.40%,4.40%,3.30%,2.20%,1.50%,0.30%,0.70%,0.70%,0.10%,0.20%,,80.10%,79.80%,78.70%,2.70%,2.00%,100.00%,12.10%,3.60%,1.80%,1.90%,4.40%,17.40%,22.50%,14.20%,8.10%,4.80%,3.30%,2.80%,1.60%,0.80%,0.20%,0.40%,0.10%,0.20%,,82.20%,81.10%,80.50%,2.40%,1.70%,,(X),(X),(X),,100.00%,90.50%,72.70%,1.80%,0.10%,12.00%,0.00%,3.80%,9.50%,,110.10%,81.70%,3.10%,0.50%,14.10%,0.20%,10.40%,,100.00%,12.40%,87.60%,,100.00%,12.40%,3.30%,0.40%,0.00%,0.10%,0.00%,3.30%,5.30%,87.60%,69.40%,1.40%,0.10%,11.90%,0.00%,0.50%,4.20%,,100.00%,100.00%,44.30%,20.40%,0.10%,5.70%,0.20%,21.40%,19.20%,0.20%,0.20%,1.50%,6.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,45.90%,23.80%,13.50%,1.00%,16.50%,10.10%,0.50%,0.80%,24.00%,12.40%,1.10%,2.50%,29.50%,6.00%,,100.00%,97.00%,3.00%,1.80%,0.40%,0.10%,0.10%,0.10%,0.50%,,(X),(X),,100.00%,26.70%,73.30%,False,69.4,1.4,11.9,0.1,0.5,12.4,False
Census Tract 185.01; Hudson County; New Jersey!!Percent,100.00%,8.10%,4.00%,2.10%,2.00%,8.90%,20.00%,19.90%,13.00%,7.10%,4.50%,3.20%,2.20%,1.80%,1.10%,0.70%,0.60%,0.40%,0.30%,,85.60%,85.10%,82.60%,4.00%,3.10%,100.00%,7.80%,4.90%,1.70%,2.30%,10.30%,18.70%,19.40%,13.20%,7.80%,4.70%,3.00%,2.40%,1.80%,0.90%,0.50%,0.40%,0.10%,0.30%,,85.50%,85.00%,81.80%,2.90%,2.20%,100.00%,8.40%,3.20%,2.50%,1.60%,7.40%,21.40%,20.40%,12.70%,6.40%,4.40%,3.50%,2.10%,1.90%,1.30%,1.00%,0.90%,0.70%,0.30%,,85.80%,85.20%,83.40%,5.20%,4.10%,,(X),(X),(X),,100.00%,93.20%,74.40%,3.30%,0.20%,11.70%,0.10%,3.60%,6.80%,,107.00%,80.80%,3.90%,0.40%,12.90%,0.20%,8.70%,,100.00%,10.40%,89.60%,,100.00%,10.40%,2.60%,0.20%,0.20%,0.10%,0.00%,3.00%,4.30%,89.60%,71.80%,3.10%,0.00%,11.60%,0.10%,0.60%,2.50%,,100.00%,95.60%,44.40%,16.40%,0.20%,5.90%,0.30%,16.10%,14.40%,0.30%,0.20%,1.30%,10.60%,4.40%,0.00%,0.00%,0.00%,4.40%,3.30%,1.10%,,100.00%,37.50%,17.60%,13.90%,0.50%,22.70%,12.60%,0.50%,1.00%,25.90%,14.00%,1.90%,2.20%,22.00%,6.60%,,100.00%,93.70%,6.30%,3.60%,0.80%,0.20%,0.10%,0.20%,1.40%,,(X),(X),,100.00%,32.90%,67.10%,True,71.8,3.1,11.6,0.0,0.6,10.4,False
Census Tract 185.02; Hudson County; New Jersey!!Percent,100.00%,6.70%,5.00%,3.50%,2.40%,7.70%,16.80%,16.30%,12.20%,9.10%,5.60%,3.40%,3.20%,2.00%,2.10%,1.60%,1.20%,0.80%,0.40%,,84.00%,83.10%,81.80%,7.40%,6.10%,100.00%,7.30%,5.10%,3.80%,2.90%,7.70%,15.00%,15.10%,13.60%,8.50%,6.10%,3.90%,3.70%,2.20%,1.70%,1.70%,0.90%,0.40%,0.30%,,83.00%,82.10%,80.10%,6.50%,5.10%,100.00%,6.20%,4.90%,3.30%,1.90%,7.60%,18.60%,17.50%,10.80%,9.70%,5.20%,2.90%,2.70%,1.90%,2.50%,1.40%,1.50%,1.10%,0.50%,,84.80%,84.10%,83.50%,8.30%,7.00%,,(X),(X),(X),,100.00%,88.70%,70.90%,4.30%,0.30%,7.80%,0.00%,5.40%,11.30%,,112.00%,81.00%,5.80%,1.40%,10.30%,0.20%,13.40%,,100.00%,17.60%,82.40%,,100.00%,17.60%,4.30%,0.80%,0.30%,0.10%,0.00%,4.60%,7.60%,82.40%,66.60%,3.60%,0.00%,7.70%,0.00%,0.90%,3.70%,,100.00%,99.90%,50.20%,14.40%,0.10%,4.10%,0.10%,20.20%,15.60%,0.80%,0.50%,2.80%,7.20%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,,100.00%,29.20%,14.60%,8.70%,0.20%,29.20%,21.90%,1.70%,0.90%,32.90%,19.20%,3.90%,3.00%,19.70%,12.60%,,100.00%,95.40%,4.60%,3.00%,0.40%,0.50%,0.10%,0.00%,0.60%,,(X),(X),,100.00%,37.30%,62.70%,True,66.6,3.6,7.7,0.0,0.9,17.6,False
